time,open,high,low,close,hl2,Upper,Lower,target_bull,target_bear,os,phv,bull_top,bull_btm,bull_avg,bull_left,bear_top,bear_btm,bear_avg,bear_left,Bull OB,Bear OB,Volume,Volume MA
1699470000,1.22962,1.22979,1.22832,1.22834,1.229055,1.23013,1.22657,1.22657,1.23013,1,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,8156,10748.35
1699473600,1.22834,1.22896,1.22813,1.2288,1.228545,1.23013,1.22813,1.22813,1.23013,1,20141,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,8514,10944.6
1699477200,1.2288,1.22901,1.22835,1.22839,1.22868,1.23013,1.22813,1.22813,1.23013,1,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5850,10890.35
1699480800,1.22839,1.22883,1.22766,1.22836,1.228245,1.23013,1.22766,1.22766,1.23013,1,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4998,10740.95
1699484400,1.22836,1.22852,1.22807,1.22852,1.2282950000000001,1.22979,1.22766,1.22766,1.22979,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,1804,10583.85
1699488000,1.22852,1.2286299999999999,1.22745,1.2279,1.22804,1.22901,1.22745,1.22745,1.22901,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4528,10558.65
1699491600,1.2279,1.22922,1.22774,1.22878,1.22848,1.22922,1.22745,1.22745,1.22922,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,7114,10649.9
1699495200,1.22878,1.22938,1.22811,1.2283,1.228745,1.22938,1.22745,1.22745,1.22938,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5880,10555.2
1699498800,1.2283,1.22848,1.2278499999999999,1.22818,1.228165,1.22938,1.22745,1.22745,1.22938,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4811,10238.85
1699502400,1.22818,1.22873,1.22811,1.22847,1.22842,1.22938,1.22745,1.22745,1.22938,0,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,4472,9771.8
1699506000,1.22847,1.22874,1.22776,1.22781,1.22825,1.22938,1.22774,1.22774,1.22938,1,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,5495,9334.45
1699509600,1.22781,1.22895,1.22755,1.22869,1.22825,1.22938,1.22755,1.22755,1.22938,1,NaN,1.22773,1.22657,1.22715,1699455600000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,6204,9106.95
1699513200,1.22869,1.22879,1.22774,1.22818,1.228265,1.22895,1.22755,1.22755,1.22895,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,9960,9133.95
1699516800,1.22818,1.2295,1.22693,1.22945,1.228215,1.2295,1.22693,1.22693,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,15858,9430.9
1699520400,1.22945,1.23086,1.22901,1.23,1.229935,1.23086,1.22693,1.22693,1.23086,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,13878,9312.55
1699524000,1.23,1.23047,1.22728,1.2274,1.228875,1.23086,1.22693,1.22693,1.23086,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,10627,9009.75
1699527600,1.2274,1.22771,1.22535,1.22615,1.22653,1.23086,1.22535,1.22535,1.23086,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,9552,8480.3
1699531200,1.22615,1.22664,1.22567,1.22619,1.2261549999999999,1.23086,1.22535,1.22535,1.23086,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,9910,8214.15
1699534800,1.22619,1.22769,1.2252,1.22717,1.226445,1.23086,1.2252,1.2252,1.23086,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,19230,8527.5
1699538400,1.22717,1.22931,1.22649,1.22891,1.2279,1.23047,1.2252,1.2252,1.23047,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,20992,8891.65
1699542000,1.22891,1.2295,1.22799,1.22867,1.228745,1.2295,1.2252,1.2252,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,21384,9553.05
1699545600,1.22867,1.22892,1.22697,1.2276799999999999,1.227945,1.2295,1.2252,1.2252,1.2295,0,NaN,1.218925,1.21843,1.2186775,1698973200000,1.24806,1.244735,1.2463975,1694692800000,NaN,NaN,13602,9807.45
